id,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
2,7.0,,5.0,5.0,15.0,3.0,4.0,4.0,2.0
3,4.0,13.0,10.0,15.0,35.0,12.0,35.0,34.0,49.0
4,,5.0,4.0,,20.0,8.0,9.0,11.0,10.0
5,1.0,2.0,4.0,,,,1.0,5.0,1.0
6,5.0,3.0,4.0,5.0,3.0,,2.0,3.0,6.0
7,,,,,,,6.0,,
8,,,,,,,5.0,4.0,1.0
9,,,,,,,,,
10,1.0,4.0,7.0,3.0,6.0,,2.0,6.0,9.0
11,7.0,6.0,13.0,,24.0,13.0,21.0,28.0,25.0
12,6.0,13.0,12.0,7.0,14.0,7.0,9.0,7.0,6.0
13,7.0,2.0,,,7.0,1.0,10.0,11.0,8.0
14,17.0,17.0,19.0,8.0,11.0,13.0,19.0,18.0,13.0
15,,3.0,3.0,10.0,,,6.0,11.0,14.0
16,9.0,8.0,13.0,14.0,28.0,10.0,9.0,22.0,19.0
17,9.0,11.0,10.0,7.0,8.0,9.0,5.0,12.0,14.0
18,7.0,6.0,7.0,15.0,31.0,13.0,22.0,22.0,32.0
19,11.0,11.0,11.0,13.0,21.0,13.0,23.0,9.0,17.0
20,17.0,19.0,19.0,16.0,27.0,20.0,19.0,18.0,27.0
21,6.0,7.0,9.0,9.0,9.0,4.0,3.0,7.0,7.0
22,,,,,,,,,
23,1.0,4.0,2.0,,3.0,,0.0,5.0,6.0
24,3.0,4.0,4.0,,,,1.0,1.0,2.0
25,33.0,37.0,35.0,28.0,29.0,32.0,42.0,36.0,43.0
26,13.0,17.0,11.0,8.0,16.0,6.0,3.0,12.0,11.0
27,17.0,24.0,17.0,14.0,26.0,27.0,19.0,20.0,17.0
28,,,5.0,9.0,12.0,,16.0,14.0,7.0
29,9.0,6.0,9.0,,16.0,,6.0,14.0,6.0
30,2.0,3.0,3.0,2.0,4.0,6.0,0.0,3.0,1.0
31,8.0,8.0,6.0,,15.0,,17.0,13.0,12.0
32,,,,,,,,,
33,,,1.0,,,,2.0,3.0,6.0
34,3.0,7.0,6.0,5.0,9.0,6.0,8.0,11.0,17.0
35,3.0,,3.0,5.0,9.0,8.0,5.0,7.0,4.0
36,2.0,4.0,6.0,,6.0,,10.0,12.0,9.0
37,6.0,4.0,2.0,,,,3.0,3.0,1.0
38,8.0,5.0,2.0,,12.0,9.0,12.0,9.0,10.0
39,9.0,19.0,15.0,11.0,13.0,15.0,13.0,16.0,20.0
40,8.0,5.0,9.0,10.0,11.0,9.0,4.0,9.0,8.0
41,7.0,7.0,8.0,5.0,,,10.0,5.0,5.0
42,5.0,10.0,3.0,,17.0,6.0,24.0,14.0,10.0
43,,8.0,10.0,,15.0,,9.0,8.0,7.0
44,,,,,,,,3.0,
45,20.0,11.0,27.0,13.0,31.0,27.0,33.0,25.0,30.0
46,3.0,7.0,9.0,4.0,8.0,7.0,6.0,5.0,7.0
47,,,,,,,,,
48,17.0,13.0,8.0,7.0,6.0,9.0,4.0,9.0,17.0
49,3.0,5.0,4.0,8.0,9.0,2.0,9.0,9.0,10.0
50,13.0,10.0,9.0,2.0,13.0,2.0,10.0,17.0,17.0
51,,,,,,,,,3.0
52,3.0,2.0,,5.0,,,3.0,2.0,8.0
53,3.0,7.0,9.0,,6.0,10.0,5.0,7.0,14.0
54,8.0,10.0,8.0,,12.0,7.0,3.0,9.0,7.0
55,4.0,4.0,9.0,8.0,9.0,,6.0,5.0,4.0
56,10.0,4.0,12.0,,8.0,11.0,,2.0,4.0
57,5.0,2.0,8.0,4.0,6.0,4.0,3.0,5.0,7.0
58,7.0,4.0,3.0,4.0,7.0,5.0,6.0,3.0,4.0
59,5.0,6.0,3.0,5.0,7.0,2.0,5.0,3.0,10.0
60,4.0,5.0,4.0,,3.0,2.0,4.0,6.0,9.0
61,3.0,8.0,,,,,4.0,2.0,7.0
62,,,,,,,,,
64,2.0,5.0,3.0,7.0,7.0,2.0,5.0,6.0,5.0
65,,,,,,,2.0,3.0,1.0
66,,3.0,,,,,6.0,3.0,2.0
67,,,,,,,,,1.0
68,17.0,15.0,16.0,7.0,14.0,7.0,8.0,14.0,12.0
69,3.0,,5.0,8.0,12.0,,16.0,7.0,12.0
70,2.0,3.0,,7.0,3.0,2.0,2.0,4.0,3.0
71,12.0,2.0,6.0,3.0,8.0,5.0,4.0,5.0,13.0
72,6.0,3.0,9.0,4.0,10.0,10.0,9.0,10.0,12.0
73,13.0,9.0,7.0,6.0,17.0,11.0,11.0,21.0,19.0
74,3.0,2.0,3.0,,,,,3.0,
75,12.0,11.0,12.0,16.0,33.0,14.0,30.0,40.0,41.0
76,15.0,19.0,24.0,6.0,18.0,17.0,15.0,16.0,24.0
77,30.0,28.0,25.0,14.0,30.0,22.0,30.0,21.0,35.0
78,8.0,13.0,10.0,11.0,12.0,11.0,9.0,11.0,10.0
79,5.0,1.0,3.0,,,,2.0,1.0,5.0
80,1.0,4.0,5.0,,,,3.0,2.0,1.0
81,8.0,6.0,2.0,2.0,9.0,8.0,10.0,4.0,4.0
82,14.0,20.0,15.0,13.0,18.0,18.0,11.0,9.0,18.0
83,5.0,5.0,8.0,3.0,10.0,7.0,8.0,6.0,8.0
84,2.0,,,,,,,,
85,,8.0,4.0,4.0,7.0,5.0,2.0,5.0,7.0
86,4.0,4.0,4.0,7.0,9.0,2.0,3.0,3.0,6.0
87,3.0,3.0,3.0,,,,,3.0,
88,3.0,3.0,6.0,4.0,7.0,2.0,2.0,4.0,7.0
89,5.0,12.0,6.0,10.0,7.0,3.0,4.0,5.0,10.0
90,,3.0,8.0,,,,2.0,6.0,6.0
91,12.0,20.0,13.0,13.0,12.0,14.0,8.0,15.0,9.0
92,,3.0,2.0,3.0,,5.0,4.0,7.0,4.0
93,11.0,8.0,6.0,4.0,4.0,,2.0,4.0,6.0
94,5.0,3.0,5.0,,1.0,3.0,5.0,3.0,3.0
95,10.0,3.0,7.0,9.0,8.0,13.0,8.0,1.0,4.0
96,19.0,14.0,12.0,13.0,15.0,10.0,15.0,9.0,18.0
97,18.0,15.0,15.0,8.0,16.0,15.0,23.0,15.0,13.0
98,17.0,6.0,11.0,11.0,15.0,15.0,21.0,17.0,28.0
99,8.0,5.0,3.0,,5.0,7.0,8.0,5.0,9.0
100,4.0,4.0,4.0,9.0,3.0,8.0,1.0,6.0,6.0
101,5.0,3.0,3.0,4.0,9.0,5.0,8.0,5.0,7.0
102,8.0,1.0,4.0,5.0,2.0,3.0,4.0,5.0,4.0
103,3.0,7.0,4.0,6.0,4.0,6.0,4.0,2.0,4.0
105,3.0,,2.0,2.0,,,3.0,7.0,4.0
106,1.0,2.0,,,,,3.0,6.0,4.0
107,11.0,18.0,11.0,11.0,11.0,7.0,8.0,9.0,9.0
108,9.0,13.0,6.0,8.0,11.0,8.0,7.0,14.0,6.0
109,6.0,7.0,3.0,,9.0,2.0,7.0,7.0,8.0
110,7.0,7.0,7.0,2.0,8.0,6.0,5.0,4.0,10.0
111,7.0,10.0,17.0,12.0,32.0,20.0,29.0,20.0,24.0
112,6.0,2.0,3.0,4.0,8.0,,5.0,8.0,6.0
113,10.0,22.0,15.0,21.0,24.0,25.0,16.0,12.0,23.0
114,3.0,4.0,1.0,2.0,,3.0,1.0,2.0,0.0
115,37.0,41.0,56.0,40.0,74.0,62.0,88.0,101.0,101.0
116,12.0,5.0,8.0,9.0,12.0,5.0,12.0,16.0,11.0
117,19.0,19.0,12.0,19.0,26.0,24.0,21.0,32.0,29.0
118,17.0,13.0,13.0,12.0,18.0,12.0,7.0,16.0,5.0
119,9.0,7.0,7.0,5.0,7.0,,9.0,11.0,7.0
120,1.0,3.0,6.0,3.0,6.0,,1.0,2.0,7.0
121,6.0,6.0,10.0,4.0,8.0,17.0,7.0,7.0,7.0
122,,,,,,,,,
123,4.0,2.0,5.0,10.0,7.0,5.0,5.0,4.0,5.0
124,1.0,6.0,10.0,3.0,6.0,3.0,2.0,2.0,2.0
125,9.0,16.0,15.0,10.0,12.0,3.0,17.0,6.0,16.0
126,,,,,,,2.0,5.0,4.0
127,2.0,8.0,5.0,10.0,5.0,2.0,7.0,5.0,8.0
128,7.0,8.0,9.0,8.0,6.0,9.0,8.0,11.0,11.0
129,3.0,,8.0,6.0,22.0,,18.0,16.0,7.0
130,4.0,5.0,4.0,,5.0,,6.0,12.0,13.0
131,10.0,23.0,14.0,13.0,21.0,12.0,13.0,15.0,9.0
132,,,,,,,,,
133,,,5.0,,,,8.0,9.0,10.0
134,1.0,2.0,2.0,,5.0,2.0,8.0,6.0,4.0
135,,5.0,1.0,5.0,14.0,4.0,4.0,1.0,3.0
136,2.0,8.0,5.0,7.0,7.0,,10.0,7.0,10.0
137,3.0,16.0,5.0,11.0,9.0,10.0,14.0,17.0,9.0
138,2.0,3.0,4.0,2.0,7.0,,1.0,1.0,5.0
139,3.0,3.0,3.0,8.0,7.0,,4.0,3.0,6.0
140,11.0,15.0,10.0,9.0,13.0,10.0,6.0,7.0,20.0
141,1.0,1.0,3.0,,5.0,,4.0,5.0,3.0
142,16.0,5.0,10.0,22.0,11.0,12.0,14.0,8.0,5.0
143,,7.0,,,15.0,,8.0,,11.0
144,10.0,10.0,16.0,13.0,11.0,11.0,7.0,6.0,10.0
145,11.0,11.0,16.0,16.0,18.0,12.0,8.0,13.0,12.0
146,19.0,12.0,4.0,10.0,9.0,5.0,8.0,12.0,11.0
147,7.0,6.0,17.0,10.0,9.0,10.0,14.0,14.0,12.0
148,13.0,21.0,18.0,20.0,17.0,12.0,20.0,15.0,14.0
149,9.0,8.0,14.0,7.0,8.0,,9.0,10.0,19.0
150,10.0,4.0,5.0,6.0,13.0,5.0,9.0,6.0,12.0
151,34.0,27.0,42.0,44.0,56.0,49.0,44.0,64.0,67.0
152,4.0,2.0,4.0,,,,5.0,8.0,4.0
153,13.0,18.0,18.0,16.0,32.0,20.0,31.0,24.0,30.0
154,8.0,11.0,4.0,11.0,15.0,9.0,10.0,11.0,15.0
155,5.0,5.0,7.0,7.0,18.0,10.0,8.0,9.0,12.0
156,15.0,11.0,14.0,10.0,16.0,17.0,21.0,23.0,17.0
157,4.0,2.0,2.0,,,,,2.0,0.0
158,6.0,9.0,6.0,14.0,15.0,9.0,6.0,16.0,17.0
159,2.0,6.0,,,,4.0,3.0,2.0,3.0
160,11.0,6.0,7.0,3.0,6.0,8.0,5.0,11.0,4.0
161,6.0,7.0,2.0,6.0,16.0,7.0,5.0,4.0,10.0
162,12.0,4.0,8.0,8.0,10.0,5.0,7.0,9.0,6.0
163,,,1.0,,,,4.0,8.0,6.0
164,9.0,8.0,14.0,6.0,11.0,7.0,9.0,8.0,10.0
165,5.0,10.0,7.0,12.0,5.0,5.0,6.0,6.0,15.0
166,4.0,,2.0,,5.0,4.0,2.0,2.0,3.0
167,,2.0,1.0,,,,,3.0,3.0
168,3.0,4.0,4.0,5.0,9.0,4.0,3.0,2.0,5.0
169,12.0,17.0,15.0,12.0,32.0,28.0,35.0,51.0,53.0
170,20.0,15.0,26.0,12.0,23.0,27.0,20.0,28.0,29.0
171,4.0,,6.0,,,,3.0,7.0,
172,31.0,21.0,20.0,32.0,37.0,38.0,62.0,61.0,79.0
173,7.0,1.0,6.0,7.0,7.0,7.0,1.0,4.0,5.0
174,10.0,12.0,8.0,5.0,15.0,5.0,11.0,10.0,13.0
175,10.0,14.0,8.0,10.0,7.0,17.0,12.0,14.0,14.0
176,26.0,21.0,43.0,31.0,37.0,27.0,32.0,42.0,36.0
177,,,7.0,,12.0,,16.0,6.0,10.0
178,,,,,,,5.0,0.0,5.0
179,4.0,7.0,6.0,11.0,14.0,,14.0,20.0,7.0
180,4.0,11.0,1.0,7.0,8.0,4.0,8.0,10.0,8.0
181,8.0,8.0,16.0,11.0,12.0,14.0,19.0,22.0,15.0
182,1.0,1.0,1.0,,,,0.0,2.0,
183,2.0,2.0,,,9.0,6.0,2.0,1.0,3.0
184,,,4.0,,,,3.0,7.0,6.0
185,17.0,8.0,8.0,8.0,7.0,7.0,10.0,6.0,11.0
186,9.0,13.0,14.0,15.0,20.0,12.0,12.0,12.0,17.0
187,8.0,8.0,9.0,,12.0,12.0,3.0,18.0,7.0
188,6.0,15.0,14.0,10.0,34.0,,27.0,27.0,39.0
189,4.0,5.0,7.0,,,6.0,7.0,16.0,15.0
190,4.0,6.0,1.0,,10.0,,4.0,9.0,5.0
191,15.0,16.0,9.0,18.0,19.0,7.0,11.0,12.0,8.0
192,3.0,9.0,12.0,10.0,12.0,14.0,9.0,10.0,18.0
193,4.0,7.0,9.0,5.0,,,14.0,10.0,12.0
194,34.0,33.0,44.0,35.0,42.0,54.0,45.0,45.0,49.0
195,10.0,9.0,8.0,8.0,14.0,7.0,15.0,18.0,15.0
196,9.0,9.0,4.0,8.0,12.0,8.0,14.0,7.0,18.0
197,7.0,7.0,5.0,5.0,11.0,2.0,8.0,7.0,6.0
198,7.0,5.0,4.0,7.0,3.0,,12.0,13.0,2.0
199,5.0,4.0,11.0,5.0,10.0,11.0,5.0,8.0,13.0
200,2.0,,3.0,1.0,4.0,,2.0,2.0,4.0
201,14.0,7.0,11.0,6.0,17.0,,20.0,9.0,13.0
202,5.0,3.0,8.0,16.0,9.0,9.0,14.0,10.0,9.0
203,9.0,7.0,7.0,6.0,12.0,9.0,7.0,13.0,13.0
204,9.0,3.0,15.0,9.0,19.0,14.0,16.0,18.0,22.0
205,7.0,8.0,7.0,9.0,13.0,,13.0,18.0,14.0
206,13.0,13.0,15.0,13.0,13.0,11.0,15.0,18.0,19.0
207,1.0,3.0,2.0,1.0,11.0,7.0,3.0,4.0,5.0
208,5.0,7.0,7.0,,17.0,,20.0,22.0,22.0
209,12.0,11.0,9.0,16.0,16.0,16.0,13.0,12.0,22.0
210,,4.0,3.0,,,,5.0,9.0,3.0
211,13.0,12.0,12.0,10.0,18.0,11.0,9.0,8.0,16.0
212,2.0,4.0,3.0,,,,2.0,3.0,5.0
213,5.0,13.0,5.0,7.0,11.0,,9.0,6.0,13.0
215,,,4.0,,,,5.0,9.0,5.0
216,,6.0,5.0,,,,8.0,5.0,
217,,4.0,5.0,,10.0,,10.0,8.0,15.0
218,4.0,7.0,3.0,6.0,14.0,9.0,7.0,11.0,6.0
219,1.0,,,,,,0.0,1.0,4.0
220,10.0,11.0,9.0,9.0,8.0,10.0,6.0,12.0,9.0
221,4.0,2.0,7.0,4.0,7.0,5.0,3.0,3.0,5.0
222,,,,,,,,6.0,7.0
223,7.0,10.0,4.0,7.0,10.0,4.0,5.0,9.0,4.0
224,9.0,12.0,7.0,8.0,11.0,10.0,10.0,7.0,4.0
225,3.0,2.0,4.0,4.0,9.0,8.0,1.0,2.0,2.0
226,,,,,,,4.0,,
227,12.0,11.0,10.0,17.0,10.0,13.0,5.0,16.0,17.0
228,5.0,2.0,2.0,,,,1.0,3.0,2.0
229,6.0,10.0,4.0,23.0,15.0,14.0,11.0,20.0,21.0
230,3.0,1.0,,,,2.0,1.0,3.0,2.0
231,7.0,13.0,6.0,8.0,16.0,14.0,10.0,17.0,7.0
232,12.0,4.0,5.0,7.0,9.0,10.0,19.0,16.0,16.0
233,9.0,8.0,8.0,,12.0,,17.0,9.0,6.0
234,19.0,13.0,17.0,10.0,22.0,11.0,14.0,16.0,28.0
235,12.0,,9.0,6.0,16.0,,21.0,17.0,20.0
236,,,4.0,,,,8.0,4.0,
